Word,Count
easier,23
mohács,23
appear,23
shortly,23
surprise,23
anybody,23
fear,23
austrian,23
whenever,23
beforehand,23
mrs,23
communist,23
magdeburg,23
events,23
threatening,23
manage,23
enjoyed,23
citizens,23
szombathely,23
weisz,23
expected,23
deep,23
romanian,23
accepted,23
bowl,23
change,23
curfew,23
wells,23
sudden,23
shirt,23
farm,23
present,23
acquire,23
misery,23
repeated,23
latrine,23
wind,23
owner,23
prepare,22
leg,22
areas,22
pain,22
weakness,22
straight,22
stable,22
sort,22
regular,22
milk,22
encouraged,22
cleaning,22
cook,22
equipment,22
upper,22
laid,22
linz,22
supported,22
leather,22
mixed,22
ways,22
leading,22
forget,22
comprised,22
glad,22
incapable,22
gunskirchen,22
owned,22
celsius,22
nurses,22
passing,22
throwing,22
trains,22
oranienburg,22
director,22
throw,22
stations,22
secretary,22
glass,22
ferenc,22
tore,21
nude,21
czechs,21
weighed,21
headed,21
lawyers,21
interior,21
refused,21
boots,21
teacher,21
origin,21
hurried,21
ration,21
dry,21
quarry,21
produced,21
watching,21
carts,21
thank,21
paid,21
albrecht,21
suspected,21
shops,21
zombor,21
sa,21
divided,21
permit,21
dried,21
commanders,21
rubber,21
peng,21
balassagyarmat,21
ring,21
easter,21
hell,21
temperature,21
president,21
reassured,21
salzwedel,21
whips,21
directed,21
major,21
true,21
spite,21
károly,21
sacks,21
satisfactory,21
walls,21
ghettos,21
gross,21
sorted,21
agreed,21
note,21
bitter,21
mountain,21
regained,20
mouth,20
quarters,20
natural,20
cared,20
engineer,20
airport,20
occurred,20
aryan,20
privileged,20
district,20
humane,20
cured,20
recognised,20
towels,20
bury,20
pit,20
important,20
heaps,20
quantity,20
packs,20
vain,20
passover,20
alarm,20
sold,20
rökk,20
bratislava,20
basically,20
withdrew,20
mortality,20
asking,20
none,20
pilsen,20
somewhere,20
possibility,20
ernő,20
fled,20
lodging,20
rosen,20
movement,20
power,20
wherever,20
soap,20
bullet,20
gradually,20
joy,20
abandoned,20
eighty,20
roads,20
mühldorf,20
kistarcsa,20
goal,20
holding,20
responded,20
means,20
stick,20
understood,20
drank,20
spoonful,20
poisoned,20
tattooed,20
compared,20
controlled,19
